time,ARROBS_HEAD_K:0_I:2_J:15,ARROBS_HEAD_K:0_I:2_J:9,ARROBS_HEAD_K:0_I:3_J:8,ARROBS_HEAD_K:0_I:9_J:1,ARROBS_HEAD_K:0_I:13_J:10,ARROBS_HEAD_K:0_I:15_J:16,ARROBS_HEAD_K:0_I:21_J:10,ARROBS_HEAD_K:0_I:22_J:15,ARROBS_HEAD_K:0_I:24_J:4,ARROBS_HEAD_K:0_I:26_J:6,ARROBS_HEAD_K:0_I:29_J:15,ARROBS_HEAD_K:0_I:33_J:7,ARROBS_HEAD_K:0_I:34_J:10
10182.00000000,35.05893683,36.44646962,36.60687035,37.80466410,35.53071316,34.86341396,35.49327151,34.69169269,36.49542560,36.04065070,34.60939275,35.45905719,35.01589267
10213.00000000,34.96899013,36.33625746,36.49953262,37.74971569,35.39488835,34.75047873,35.36110245,34.59260350,36.39332467,35.92227511,34.50956392,35.32572192,34.88340507
10244.00000000,34.83312364,36.12304739,36.28305974,37.55255472,35.17688902,34.58792336,35.14097819,34.44663991,36.16456674,35.68873745,34.36484250,35.10291550,34.68215481
10274.00000000,34.69215397,35.87349479,36.02560959,37.28121815,34.94203965,34.42365737,34.89930100,34.29707537,35.88175912,35.41243484,34.21811617,34.85698099,34.47145377
10305.00000000,34.57738793,35.64291820,35.78426577,36.99762006,34.74150848,34.29373923,34.68856127,34.17662402,35.60677229,35.15341438,34.10147082,34.64172825,34.29697348
10335.00000000,34.52604663,35.50755877,35.63896383,36.79780777,34.64046980,34.24008739,34.57717736,34.12414014,35.43006271,34.99627854,34.05244068,34.52563440,34.21385441
10366.00000000,34.55034767,35.50002391,35.62469971,36.72997288,34.66320915,34.27562631,34.59161050,34.15215126,35.39318640,34.97790258,34.08283460,34.53583817,34.24185245
10397.00000000,34.64171850,35.62189225,35.74527469,36.81566543,34.80121934,34.38786889,34.72585709,34.25064579,35.50675338,35.10283960,34.18184274,34.66801800,34.37104770
10425.00000000,34.76728487,35.82371262,35.95094732,37.01408691,35.00160162,34.53655874,34.92745431,34.38390042,35.72078594,35.31849554,34.31391065,34.87192638,34.55493394
10456.00000000,34.91588499,36.09130029,36.22779489,37.31606414,35.24766042,34.70760320,35.18008515,34.53951271,36.02205186,35.61011485,34.46659742,35.13083375,34.77726280
10486.00000000,35.03166181,36.32476929,36.47257996,37.61070931,35.44669646,34.83645120,35.38878399,34.65891498,36.29833875,35.86860297,34.58240287,35.34713938,34.95324265
10517.00000000,35.08980000,36.47505157,36.63391138,37.83696219,35.55637079,34.89543782,35.50910014,34.71639061,36.49137663,36.03920080,34.63635268,35.47477581,35.04521446
10547.00000000,35.07125337,36.49416484,36.66032738,37.92253838,35.54178756,34.86555529,35.50264620,34.69339735,36.53923578,36.06711164,34.61084140,35.47030448,35.02136889
10578.00000000,34.97988195,36.37755634,36.54570258,37.84878930,35.40532734,34.75287482,35.36990720,34.59450986,36.43070671,35.94528104,34.51110816,35.33556580,34.88824038
10609.00000000,34.84277192,36.15884428,36.32298347,37.63614303,35.18658259,34.59045638,35.14907043,34.44862363,36.19644248,35.70863715,34.36642692,35.11171373,34.68661405
10639.00000000,34.70108822,35.90528279,36.06093795,37.35307610,34.95157496,34.42668039,34.90736628,34.29951126,35.90989091,35.43050375,34.22013340,34.86553910,34.47618619
10670.00000000,34.58614434,35.67201926,35.81643598,37.06053240,34.75161158,34.29770681,34.69736535,34.17994434,35.63270403,35.17086968,34.10436515,34.65088535,34.30267113
10700.00000000,34.53502706,35.53520588,35.66933599,36.85457157,34.65158965,34.24519662,34.58719105,34.12850800,35.45513292,35.01401483,34.05641810,34.53596669,34.22085434
