time,TAILWATER
0.1000000000000E-04,0.1431651E-09
0.3000000000000E-04,0.1001455E-08
0.7000000000000E-04,0.5000151E-08
0.1500000000000E-03,0.2208042E-07
0.3100000000000E-03,0.9221084E-07
0.6300000000000E-03,0.3673171E-06
0.1270000000000E-02,0.1411398E-05
0.2550000000000E-02,0.5134671E-05
0.5110000000000E-02,0.1674898E-04
0.1023000000000E-01,0.5233943E-04
0.2047000000000E-01,0.2218553E-03
0.4095000000000E-01,0.1213297E-02
0.8191000000000E-01,0.7165069E-02
0.1638300000000,0.4549460E-01
0.3276700000000,0.2752601
0.6553500000000,1.007413
1.310710000000,1.891625
2.621430000000,2.212637
5.242870000000,2.181750
10.48575000000,2.246483
20.97151000000,2.881141
41.94303000000,0.7279374E+28
50.33163800000,0.4945198E+28
53.68708120000,0.3742770E+28
60.39796760000,0.2113098E+28
63.08232216000,0.1579166E+28
68.45103128000,0.9200329E+27
79.18844952000,0.3634238E+27
80.04744297920,0.3208817E+27
81.76542989760,0.2569649E+27
85.20140373440,0.1694996E+27
92.07335140800,0.8265913E+26
105.8172467552,0.2631030E+26
133.3050374496,0.4945303E+25
144.3001537274,0.1780488E+25
166.2903862829,0.3945322E+24
210.2708513939,0.5030971E+23
210.9745388357,0.4502440E+23
212.3819137192,0.3665370E+23
212.9448636727,0.3361057E+23
213.1700436540,0.3243592E+23
213.6204036168,0.3023144E+23
214.5211235423,0.2638281E+23
214.8814115124,0.2493776E+23
215.0255267005,0.2437304E+23
215.3137570767,0.2328730E+23
215.8902178290,0.2129978E+23
217.0431393336,0.1795159E+23
217.5043079354,0.1671354E+23
218.4266451391,0.1454518E+23
220.2713195465,0.1121941E+23
223.9606683612,0.7045815E+22
231.3393659907,0.3235098E+22
234.2908450425,0.2196671E+22
235.4714366632,0.1845932E+22
237.8326199046,0.1340674E+22
242.5549863875,0.7651015E+21
251.9997193533,0.3068697E+21
270.8891852847,0.7779351E+20
278.4449716573,0.3558066E+20
278.5658642393,0.3490904E+20
