pargpnme,inctyp,derinc,derinclb,forcen,derincmul,dermthd,splitthresh,splitreldiff,splitaction
wel_440,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_699,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_578,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_453,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_675,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_723,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_516,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_449,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_188,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_64,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_660,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_313,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_413,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_319,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_506,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_308,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_656,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_4,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_510,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_299,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_686,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_407,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_327,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_466,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_300,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_201,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_435,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_674,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_695,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_160,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_113,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_312,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_80,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_581,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_334,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_214,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_114,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_207,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_33,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
