time,ARROBS_HEAD_K:2_I:2_J:15,ARROBS_HEAD_K:2_I:2_J:9,ARROBS_HEAD_K:2_I:3_J:8,ARROBS_HEAD_K:2_I:9_J:1,ARROBS_HEAD_K:2_I:13_J:10,ARROBS_HEAD_K:2_I:15_J:16,ARROBS_HEAD_K:2_I:21_J:10,ARROBS_HEAD_K:2_I:22_J:15,ARROBS_HEAD_K:2_I:24_J:4,ARROBS_HEAD_K:2_I:26_J:6,ARROBS_HEAD_K:2_I:29_J:15,ARROBS_HEAD_K:2_I:33_J:7,ARROBS_HEAD_K:2_I:34_J:10,ARROBS_HEAD_K:0_I:2_J:15,ARROBS_HEAD_K:0_I:2_J:9,ARROBS_HEAD_K:0_I:3_J:8,ARROBS_HEAD_K:0_I:9_J:1,ARROBS_HEAD_K:0_I:13_J:10,ARROBS_HEAD_K:0_I:15_J:16,ARROBS_HEAD_K:0_I:21_J:10,ARROBS_HEAD_K:0_I:22_J:15,ARROBS_HEAD_K:0_I:24_J:4,ARROBS_HEAD_K:0_I:26_J:6,ARROBS_HEAD_K:0_I:29_J:15,ARROBS_HEAD_K:0_I:33_J:7,ARROBS_HEAD_K:0_I:34_J:10
0.6553500000000,35.27750422,36.98413143,37.26237603,39.96523564,35.47921986,34.87211646,35.30557849,34.72582317,36.56850193,35.76115709,34.54272110,34.53461971,34.01792537,35.14678647,37.07434306,37.37131349,39.99446496,35.52832780,34.85718102,35.35063472,34.64845760,36.68710614,35.83325006,34.49956739,34.61399003,34.07333883
1.310710000000,35.30410043,36.96994048,37.24401935,39.94672002,35.47295897,34.88026790,35.29993018,34.73822164,36.55221531,35.75686904,34.54220454,34.52878419,34.02932269,35.20396820,37.03051216,37.31755806,39.98054407,35.50765872,34.87108691,35.33217670,34.68269509,36.62919405,35.80138238,34.51514212,34.57987122,34.05673675
2.621430000000,35.34497518,36.94657003,37.21332902,39.90945022,35.46474960,34.89530987,35.29231973,34.75738255,36.52413669,35.74878455,34.54084007,34.52884650,34.05974903,35.27084113,36.98588721,37.26164545,39.94599673,35.48737462,34.89095608,35.31377833,34.71938024,36.57214881,35.77434926,34.52548418,34.55408613,34.06284236
5.242870000000,35.39989529,36.91068227,37.16478732,39.83515528,35.45715233,34.92137613,35.28341409,34.78125238,36.47583316,35.73149620,34.53911973,34.55417190,34.13161434,35.34279559,36.93854435,37.19958844,39.87253791,35.47198149,34.92034434,35.29827831,34.75424949,36.51016368,35.74957742,34.52881596,34.56064170,34.12027028
10.48575000000,35.46589573,36.85865774,37.09301389,39.68897410,35.45557870,34.96259491,35.27364390,34.80602634,36.39590196,35.69813668,34.54676180,34.63317675,34.26709601,35.41752118,36.88050563,37.12037600,39.72613499,35.46618722,34.96414368,35.28547596,34.78465283,36.42425809,35.71431242,34.53594959,34.63008650,34.25297676
20.97151000000,35.53298664,36.78157577,36.98928901,39.41221961,35.46489049,35.01772524,35.26597836,34.83365367,36.27944045,35.65203857,34.58578086,34.77420058,34.45969079,35.48857459,36.80003305,37.01179690,39.44804361,35.47379337,35.02191996,35.27634410,34.81406958,36.30295939,35.66620543,34.57190591,34.77098734,34.45153464
41.94303000000,35.57060086,36.65509649,36.83100175,38.93720694,35.47739973,35.07312495,35.26870360,34.87234702,36.14053127,35.60987047,34.66612850,34.94068227,34.66510106,35.52908323,36.67178786,36.85042472,38.96947723,35.48641493,35.07988104,35.27815338,34.85240197,36.15903662,35.62163055,34.64952184,34.94238521,34.66507048
83.88607000000,35.53117211,36.44067547,36.58251711,38.25465958,35.45894048,35.09822600,35.27032029,34.90865022,35.98923056,35.56494208,34.74779426,35.05504253,34.80504217,35.49387810,36.45614629,36.59970280,38.28072648,35.46891277,35.10695489,35.27980711,34.88835405,36.00411867,35.57566117,34.73014700,35.06171559,34.81122658
167.7721500000,35.39529431,36.13195246,36.24203876,37.48561234,35.36665789,35.05554990,35.22206003,34.89616266,35.80382898,35.47163970,34.76764457,35.06536988,34.83693783,35.36419579,36.14578678,36.25688081,37.50468256,35.37725968,35.06534247,35.23211953,34.87712825,35.81681220,35.48233012,34.75077942,35.07455355,34.84596541
267.7721500000,35.26548741,35.89282371,35.98412008,36.98555126,35.26122227,34.98599301,35.14735286,34.84869821,35.64937011,35.36766436,34.73660915,35.01470453,34.80228679,35.23919509,35.90527531,35.99724094,37.00049400,35.27178185,34.99597224,35.15757891,34.83149669,35.66143447,35.37826550,34.72116985,35.02449946,34.81200654
