,sidx,idx_strs,pargp3,parval1_3,3
0,"(2, 79, 31)",idx0:2_idx1:79_idx2:31,twel_mlt,1.0,1.00000000000000000000000000000000
1,"(2, 34, 40)",idx0:2_idx1:34_idx2:40,twel_mlt,1.0,1.00000000000000000000000000000000
2,"(2, 88, 19)",idx0:2_idx1:88_idx2:19,twel_mlt,1.0,1.00000000000000000000000000000000
3,"(2, 61, 43)",idx0:2_idx1:61_idx2:43,twel_mlt,1.0,1.00000000000000000000000000000000
4,"(2, 28, 49)",idx0:2_idx1:28_idx2:49,twel_mlt,1.0,1.00000000000000000000000000000000
5,"(2, 103, 37)",idx0:2_idx1:103_idx2:37,twel_mlt,1.0,1.00000000000000000000000000000000
